;;;Staffen importert aus den Links auf der Seite volleyball.nrw
201797;2017;Regionalliga West Frauen;
201799;2017;Oberliga 1 Frauen;
201801;2017;Oberliga 2 Frauen;
201824;2017;Verbandsliga 1 Frauen;
201806;2017;Verbandsliga 2 Frauen;
201841;2017;Verbandsliga 3 Frauen;
201826;2017;Verbandsliga 4 Frauen;
202024;2017;Landesliga 8 Frauen;
202025;2017;Bezirksliga 15 Frauen;
202026;2017;Bezirksliga 16 Frauen;
202100;2017;Bezirksklasse 29 Frauen;
202099;2017;Bezirksklasse 30 Frauen;
202101;2017;Bezirksklasse 31 Frauen;
202102;2017;Bezirksklasse 32 Frauen;
202104;2017;Kreisliga Gütersloh/Bielefeld Frauen;
202195;2017;Kreisliga Lippe Frauen;
202194;2017;Kreisliga Minden-Ravensberg Frauen;
202103;2017;Kreisliga Paderborn/Höxter Frauen;
201811;2017;Landesliga 3 Frauen;
201814;2017;Landesliga 4 Frauen;
201851;2017;Bezirksliga 5 Frauen;
201852;2017;Bezirksliga 6 Frauen;
201853;2017;Bezirksliga 7 Frauen;
201854;2017;Bezirksliga 8 Frauen;
201845;2017;Bezirksklasse 10 Frauen;
201846;2017;Bezirksklasse 11 Frauen;
201848;2017;Bezirksklasse 13 Frauen;
201849;2017;Bezirksklasse 14 Frauen;
201850;2017;Bezirksklasse 16 Frauen;
201973;2017;Kreisliga Duisburg/Wesel/Mettmann Frauen;
201974;2017;Kreisliga Essen Frauen;
201972;2017;Kreisliga Kleve/Duisburg Frauen;
201975;2017;Kreisliga Krefeld-Viersen/Düsseldorf Frauen;
201976;2017;Kreisliga Neuss-Grevenbroich/Mönchengladbach/Heinsberg;
201977;2017;Kreisliga Wupper-Mettmann Frauen;
201987;2017;Landesliga 5 Frauen;
201988;2017;Landesliga 6 Frauen;
201989;2017;Bezirksliga 4 Frauen;
202036;2017;Bezirksliga 9 Frauen;
202037;2017;Bezirksliga 10 Frauen;
202038;2017;Bezirksliga 12 Frauen;
201990;2017;Bezirksklasse 8 Frauen;
202039;2017;Bezirksklasse 17 Frauen;
202041;2017;Bezirksklasse 18 Frauen;
202042;2017;Bezirksklasse 19 Frauen;
202043;2017;Bezirksklasse 20 Frauen;
202044;2017;Bezirksklasse 23 Frauen;
202045;2017;Bezirksklasse 24 Frauen;
202105;2017;Kreisliga Bochum - Ennepe-Ruhr - Herne;
202193;2017;Kreisliga Hagen - Märkischer Kreis Frauen;
202192;2017;Kreisliga Hamm - Soest Frauen;
202209;2017;Kreisliga Hochsauerlandkreis Frauen;
202208;2017;Kreisliga Dortmund - Unna Frauen;
202207;2017;Kreisliga Unna Frauen;
202202;2017;Kreisklasse Bochum - Ennepe-Ruhr - Herne Frauen;
201777;2017;Landesliga 7 Frauen;
201784;2017;Bezirksliga 14 Frauen;
201781;2017;Bezirksliga 11 Frauen;
201783;2017;Bezirksliga 13 Frauen;
201792;2017;Bezirksklasse 21 Frauen;
201794;2017;Bezirksklasse 22 Frauen;
201795;2017;Bezirksklasse 25 Frauen;
201802;2017;Bezirksklasse 26 Frauen;
201803;2017;Bezirksklasse 27 Frauen;
201804;2017;Bezirksklasse 28 Frauen;
202011;2017;Kreisliga Borken Ost Frauen;
202010;2017;Kreisliga Borken West Frauen;
202132;2017;Kreisliga Coesfeld Frauen;
201968;2017;Kreisliga Steinfurt Frauen;
202197;2017;Kreisliga Vest Frauen Gruppe A;
201967;2017;Kreisliga Warendorf Frauen;
202199;2017;Kreisliga Vest Frauen Gruppe B;
201943;2017;Landesliga 1 Frauen;
201946;2017;Landesliga 2 Frauen;
202076;2017;Bezirksliga 1 Frauen;
202074;2017;Bezirksliga 2 Frauen;
202071;2017;Bezirksliga 3 Frauen;
202140;2017;Bezirksklasse 1 Frauen;
202141;2017;Bezirksklasse 2 Frauen;
202144;2017;Bezirksklasse 3 Frauen;
202163;2017;Bezirksklasse 4 Frauen;
